2015-05-26T00:26:00Z,PENAL CODE/MISC (PENALMI),3900 Block BLOCK EL CAMINO REAL,PALO ALTO,94306
2015-05-26T00:26:00Z,DRUNK IN PUBLIC ADULT/MISC (647FA),3900 Block BLOCK EL CAMINO REAL,PALO ALTO,94306
2015-05-26T00:26:00Z,PENAL CODE/MISC (PENALMI),3900 Block BLOCK EL CAMINO REAL,PALO ALTO,94306
2015-05-26T00:26:00Z,PENAL CODE/MISC (PENALMI),3900 Block BLOCK EL CAMINO REAL,PALO ALTO,94306
2015-05-26T02:30:00Z,N&D/POSSESSION (11350),WILKIE WAY & JAMES RD,PALO ALTO,94306
2015-05-26T02:30:00Z,N&D/PARAPHERNALIA (11364),WILKIE WAY & JAMES RD,PALO ALTO,94306
2015-05-26T02:30:00Z,TRAFFIC/SUSPENDED LICENSE (14601),WILKIE WAY & JAMES RD,PALO ALTO,94306
2015-05-26T05:00:00Z,TRAFFIC/MISC (TRAFMISC),EL CAMINO REAL & UNIVERSITY AV,PALO ALTO,94301
2015-05-26T06:01:00Z,PENAL CODE/MISC (PENALMI),400 Block ALMA ST,PALO ALTO,94301
2015-05-26T06:34:00Z,B&P/MISC (B&PMISC),700 Block URBAN LN,PALO ALTO,94301
2015-05-26T06:55:00Z,PENAL CODE/MISC (PENALMI),500 Block HIGH ST,PALO ALTO,94301
2015-05-26T07:36:00Z,WARRANT/OTHER AGENCY (OWARRANT),800 Block BRYANT ST,PALO ALTO,94301
2015-05-26T08:00:00Z,THEFT GRAND/BIKE/BIKE PARTS (487B),1 Block UNIVERSITY AV,PALO ALTO,94301
2015-05-26T08:05:00Z,PENAL CODE/MISC (PENALMI),800 Block BRYANT ST,PALO ALTO,94301
2015-05-26T09:00:00Z,F&W/BRANDISHING (417),2200 Block EL CAMINO REAL,PALO ALTO,94306
2015-05-26T09:13:00Z,ACCIDENT MINOR INJURY (1181),3300 Block BLOCK EL CAMINO REAL,PALO ALTO,94306
2015-05-26T09:52:00Z,THEFT PETTY/MISC (488M),300 Block POE ST,PALO ALTO,94301
2015-05-26T11:01:00Z,B&P/MISC (B&PMISC),500 Block WAVERLEY ST,PALO ALTO,94301
2015-05-26T11:18:00Z,MUNI CODE/MISC (1090MISC),200 Block UNIVERSITY AV,PALO ALTO,94301
2015-05-26T11:18:00Z,MUNI CODE/MISC (1090MISC),200 Block UNIVERSITY AV,PALO ALTO,94301
2015-05-26T13:00:00Z,ACCIDENT PROPERTY DAMAGE (1182),LANE 11 WEST & EMERSON ST,PALO ALTO,94301
2015-05-26T13:00:00Z,MISDEMEANOR/HIT & RUN (20002),LANE 11 WEST & EMERSON ST,PALO ALTO,94301
2015-05-26T14:00:00Z,THEFT PETTY/BIKE/BIKE PARTS (488B),600 Block EMERSON ST,PALO ALTO,94301
2015-05-26T14:00:00Z,THEFT PETTY/MISC (488M),300 Block EMERSON ST,PALO ALTO,94301
2015-05-26T14:00:00Z,CREDIT CARDS/FRAUDULENT USE (484G),2800 Block MIDDLEFIELD RD,PALO ALTO,94306
2015-05-26T14:45:00Z,F&W/DISPOSAL REQUEST (F&WDISPS),200 Block FOREST AV,PALO ALTO,94301
2015-05-26T15:15:00Z,ACCIDENT PROPERTY DAMAGE (1182),MIDDLEFIELD RD & SAN ANTONIO RD,PALO ALTO,94303
2015-05-26T17:25:00Z,DRIVER'S LICENSE SUSPENDED/ALC (14601.2(A)VC),EL CAMINO REAL & N SAN ANTONIO RD,"",""
2015-05-26T17:25:00Z,TRAFFIC/SUSPENDED LICENSE (14601),EL CAMINO REAL & N SAN ANTONIO RD,"",""
2015-05-26T18:10:00Z,BURGLARY/AUTO (459A),300 Block EMERSON ST,PALO ALTO,94301
2015-05-26T19:00:00Z,BURGLARY/AUTO (459A),1900 Block EL CAMINO REAL,PALO ALTO,94306
2015-05-26T19:00:00Z,BURGLARY/AUTO (459A),1900 Block EL CAMINO REAL,PALO ALTO,94306
2015-05-26T19:30:00Z,BURGLARY/AUTO (459A),100 Block EL CAMINO REAL,PALO ALTO,94304
